"Country","GBDCHILDCAUSES","Year","Deaths_0_to_27_Days","Deaths_1_to_59_Months","Deaths_0_to_4_Years"
"Antigua and Barbuda","Acute lower respiratory infections","2011","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2010","0","0","0"
"Antigua and Barbuda","Acute lower respiratory infections","2009","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2008","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2007","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2006","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2005","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2004","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2003","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2002","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2001","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2000","0","0","0"
"Antigua and Barbuda","Prematurity","2013","2","0","2"
"Antigua and Barbuda","Prematurity","2012","2","0","2"
"Antigua and Barbuda","Prematurity","2011","2","0","2"
"Antigua and Barbuda","Prematurity","2010","2","0","2"
"Antigua and Barbuda","Prematurity","2009","2","0","2"
"Antigua and Barbuda","Prematurity","2008","2","0","2"
"Antigua and Barbuda","Prematurity","2007","3","1","4"
"Antigua and Barbuda","Prematurity","2006","4","1","5"
"Antigua and Barbuda","Prematurity","2005","6","1","7"
"Antigua and Barbuda","Prematurity","2004","4","0","4"
"Antigua and Barbuda","Prematurity","2003","5","0","6"
"Antigua and Barbuda","Prematurity","2002","6","1","7"
"Antigua and Barbuda","Prematurity","2001","6","1","7"
"Antigua and Barbuda","Prematurity","2000","6","1","7"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2013","4","0","4"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2012","4","0","4"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2011","4","0","4"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2010","4","0","4"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2009","3","0","3"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2008","2","0","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2007","2","0","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2006","1","0","1"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2005","1","0","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2004","0","1","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2003","1","1","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2002","0","1","2"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2001","3","1","4"
"Antigua and Barbuda","Birth asphyxia and birth trauma","2000","4","1","5"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2013","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2012","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2011","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2010","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2009","1","0","1"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2008","1","0","1"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2007","1","0","1"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2006","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2005","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2004","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2003","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2002","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2001","0","0","0"
"Antigua and Barbuda","Sepsis and other infectious conditions of the newborn","2000","0","0","0"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2013","2","0","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2012","2","0","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2011","2","0","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2010","2","1","3"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2009","2","1","3"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2008","2","1","3"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2007","2","1","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2006","1","1","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2005","1","1","2"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2004","1","0","1"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2003","0","0","1"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2002","1","0","1"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2001","1","0","1"
"Antigua and Barbuda","Other communicable, perinatal and nutritional conditions","2000","1","0","1"
"Antigua and Barbuda","Congenital anomalies","2013","0","1","1"
"Antigua and Barbuda","Congenital anomalies","2012","0","1","1"
"Antigua and Barbuda","Congenital anomalies","2011","0","1","1"
"Antigua and Barbuda","Congenital anomalies","2010","0","1","1"
"Antigua and Barbuda","Congenital anomalies","2009","1","1","2"
"Antigua and Barbuda","Congenital anomalies","2008","1","1","3"
"Antigua and Barbuda","Congenital anomalies","2007","1","1","3"
"Antigua and Barbuda","Congenital anomalies","2006","2","2","4"
"Antigua and Barbuda","Congenital anomalies","2005","2","1","3"
"Antigua and Barbuda","Congenital anomalies","2004","5","3","8"
"Antigua and Barbuda","Congenital anomalies","2003","4","2","7"
"Antigua and Barbuda","Congenital anomalies","2002","4","4","8"
"Antigua and Barbuda","Congenital anomalies","2001","2","2","4"
"Antigua and Barbuda","Congenital anomalies","2000","3","3","5"
"Antigua and Barbuda","Other noncommunicable diseases","2013","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2012","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2011","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2010","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2009","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2008","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2007","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2006","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2005","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2004","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2003","0","3","3"
"Antigua and Barbuda","Other noncommunicable diseases","2002","0","2","2"
"Antigua and Barbuda","Other noncommunicable diseases","2001","0","5","5"
"Antigua and Barbuda","Other noncommunicable diseases","2000","0","6","6"
"Antigua and Barbuda","Injuries","2013","0","3","3"
"Antigua and Barbuda","Injuries","2012","0","2","2"
"Antigua and Barbuda","Injuries","2011","0","2","2"
"Antigua and Barbuda","Injuries","2010","0","2","2"
"Antigua and Barbuda","Injuries","2009","0","2","2"
"Antigua and Barbuda","Injuries","2008","0","2","2"
"Antigua and Barbuda","Injuries","2007","0","2","2"
"Antigua and Barbuda","Injuries","2006","0","2","2"
"Antigua and Barbuda","Injuries","2005","0","1","1"
"Antigua and Barbuda","Injuries","2004","0","1","1"
"Antigua and Barbuda","Injuries","2003","0","1","1"
"Antigua and Barbuda","Injuries","2002","0","1","1"
"Antigua and Barbuda","Injuries","2001","0","1","1"
"Antigua and Barbuda","Injuries","2000","0","1","1"
"Bahamas","HIV/AIDS","2013","0","0","0"
"Bahamas","HIV/AIDS","2012","0","0","0"
"Bahamas","HIV/AIDS","2011","0","0","0"
"Bahamas","HIV/AIDS","2010","0","0","0"
"Bahamas","HIV/AIDS","2009","0","0","0"
"Bahamas","HIV/AIDS","2008","0","0","0"
"Bahamas","HIV/AIDS","2007","0","0","0"
"Bahamas","HIV/AIDS","2006","0","0","0"
"Bahamas","HIV/AIDS","2005","0","0","0"
"Bahamas","HIV/AIDS","2004","0","0","0"
"Bahamas","HIV/AIDS","2003","0","1","1"
"Bahamas","HIV/AIDS","2002","0","1","1"
"Bahamas","HIV/AIDS","2001","0","1","1"
"Bahamas","HIV/AIDS","2000","0","1","1"
"Bahamas","Diarrhoeal diseases","2013","0","0","0"
"Bahamas","Diarrhoeal diseases","2012","0","0","0"
"Bahamas","Diarrhoeal diseases","2011","0","0","0"
"Bahamas","Diarrhoeal diseases","2010","0","0","0"
"Bahamas","Diarrhoeal diseases","2009","0","0","0"
"Bahamas","Diarrhoeal diseases","2008","0","0","0"
"Bahamas","Diarrhoeal diseases","2007","0","0","0"
"Bahamas","Diarrhoeal diseases","2006","0","0","0"
"Bahamas","Diarrhoeal diseases","2005","0","0","0"
"Bahamas","Diarrhoeal diseases","2004","0","0","0"
"Bahamas","Diarrhoeal diseases","2003","0","1","1"
"Bahamas","Diarrhoeal diseases","2002","0","0","0"
"Bahamas","Diarrhoeal diseases","2001","0","1","1"
"Bahamas","Diarrhoeal diseases","2000","0","1","1"
"Bahamas","Pertussis","2013","0","0","0"
"Bahamas","Pertussis","2012","0","0","0"
"Bahamas","Pertussis","2011","0","0","0"
"Bahamas","Pertussis","2010","0","0","0"
"Bahamas","Pertussis","2009","0","0","0"
"Bahamas","Pertussis","2008","0","0","0"
"Bahamas","Pertussis","2007","0","0","0"
"Bahamas","Pertussis","2006","0","0","0"
"Bahamas","Pertussis","2005","0","0","0"
"Bahamas","Pertussis","2004","0","0","0"
"Bahamas","Pertussis","2003","0","0","0"
"Bahamas","Pertussis","2002","0","0","0"
"Bahamas","Pertussis","2001","0","0","0"
"Bahamas","Pertussis","2000","0","0","0"
"Bahamas","Tetanus","2013","0","0","0"
"Bahamas","Tetanus","2012","0","0","0"
"Bahamas","Tetanus","2011","0","0","0"
"Bahamas","Tetanus","2010","0","0","0"
"Bahamas","Tetanus","2009","0","0","0"
"Bahamas","Tetanus","2008","0","0","0"
"Bahamas","Tetanus","2007","0","0","0"
"Bahamas","Tetanus","2006","0","0","0"
"Bahamas","Tetanus","2005","0","0","0"
"Bahamas","Tetanus","2004","0","0","0"
"Bahamas","Tetanus","2003","0","0","0"
"Bahamas","Tetanus","2002","0","0","0"
"Bahamas","Tetanus","2001","0","0","0"
"Bahamas","Tetanus","2000","0","0","0"
"Bahamas","Measles","2013","0","0","0"
"Bahamas","Measles","2012","0","0","0"
"Bahamas","Measles","2011","0","0","0"
"Bahamas","Measles","2010","0","0","0"
"Bahamas","Measles","2009","0","0","0"
"Bahamas","Measles","2008","0","0","0"
"Bahamas","Measles","2007","0","0","0"
"Bahamas","Measles","2006","0","0","0"
"Bahamas","Measles","2005","0","0","0"
"Bahamas","Measles","2004","0","0","0"
"Bahamas","Measles","2003","0","0","0"
"Bahamas","Measles","2002","0","0","0"
"Bahamas","Measles","2001","0","0","0"
"Bahamas","Measles","2000","0","0","0"
"Bahamas","Meningitis/encephalitis","2013","0","0","0"
"Bahamas","Meningitis/encephalitis","2012","0","0","0"
"Bahamas","Meningitis/encephalitis","2011","0","0","0"
"Bahamas","Meningitis/encephalitis","2010","0","0","0"
"Bahamas","Meningitis/encephalitis","2009","0","0","0"
"Bahamas","Meningitis/encephalitis","2008","0","0","0"
"Bahamas","Meningitis/encephalitis","2007","0","0","0"
"Bahamas","Meningitis/encephalitis","2006","0","0","0"
"Bahamas","Meningitis/encephalitis","2005","0","0","0"
"Bahamas","Meningitis/encephalitis","2004","0","0","0"
"Bahamas","Meningitis/encephalitis","2003","0","1","1"
"Bahamas","Meningitis/encephalitis","2002","0","1","1"
"Bahamas","Meningitis/encephalitis","2001","0","1","1"
"Bahamas","Meningitis/encephalitis","2000","0","1","1"
"Bahamas","Malaria","2013","0","0","0"
"Bahamas","Malaria","2012","0","0","0"
"Bahamas","Malaria","2011","0","0","0"
"Bahamas","Malaria","2010","0","0","0"
"Bahamas","Malaria","2009","0","0","0"
"Bahamas","Malaria","2008","0","0","0"
"Bahamas","Malaria","2007","0","0","0"
"Bahamas","Malaria","2006","0","0","0"
"Bahamas","Malaria","2005","0","0","0"
"Bahamas","Malaria","2004","0","0","0"
"Bahamas","Malaria","2003","0","0","0"
"Bahamas","Malaria","2002","0","0","0"
"Bahamas","Malaria","2001","0","0","0"
"Bahamas","Malaria","2000","0","0","0"
"Bahamas","Acute lower respiratory infections","2013","9","16","25"
"Bahamas","Acute lower respiratory infections","2012","10","17","26"
"Bahamas","Acute lower respiratory infections","2011","10","16","26"
"Bahamas","Acute lower respiratory infections","2010","10","14","25"
"Bahamas","Acute lower respiratory infections","2009","11","13","24"
"Bahamas","Acute lower respiratory infections","2008","11","10","21"
"Bahamas","Acute lower respiratory infections","2007","10","7","17"
"Bahamas","Acute lower respiratory infections","2006","7","5","12"
"Bahamas","Acute lower respiratory infections","2005","5","4","9"
"Bahamas","Acute lower respiratory infections","2004","3","4","7"
"Bahamas","Acute lower respiratory infections","2003","4","4","8"
"Bahamas","Acute lower respiratory infections","2002","6","7","14"
"Bahamas","Acute lower respiratory infections","2001","7","9","16"
"Bahamas","Acute lower respiratory infections","2000","9","11","19"
"Bahamas","Prematurity","2013","11","0","11"
"Bahamas","Prematurity","2012","12","0","12"
"Bahamas","Prematurity","2011","12","0","12"
"Bahamas","Prematurity","2010","13","0","13"
"Bahamas","Prematurity","2009","13","0","13"
"Bahamas","Prematurity","2008","13","0","13"
"Bahamas","Prematurity","2007","14","0","14"
"Bahamas","Prematurity","2006","14","0","15"
"Bahamas","Prematurity","2005","13","0","13"
"Bahamas","Prematurity","2004","12","1","14"
"Bahamas","Prematurity","2003","14","1","16"
"Bahamas","Prematurity","2002","15","3","18"
"Bahamas","Prematurity","2001","14","3","17"
"Bahamas","Prematurity","2000","12","3","16"
"Bahamas","Birth asphyxia and birth trauma","2013","6","0","6"
"Bahamas","Birth asphyxia and birth trauma","2012","6","0","6"
"Bahamas","Birth asphyxia and birth trauma","2011","7","0","7"
"Bahamas","Birth asphyxia and birth trauma","2010","7","0","7"
"Bahamas","Birth asphyxia and birth trauma","2009","7","0","7"
"Bahamas","Birth asphyxia and birth trauma","2008","6","0","6"
"Bahamas","Birth asphyxia and birth trauma","2007","5","0","5"
"Bahamas","Birth asphyxia and birth trauma","2006","6","1","7"
"Bahamas","Birth asphyxia and birth trauma","2005","9","3","12"
"Bahamas","Birth asphyxia and birth trauma","2004","10","5","15"
"Bahamas","Birth asphyxia and birth trauma","2003","7","5","12"
"Bahamas","Birth asphyxia and birth trauma","2002","3","3","7"
"Bahamas","Birth asphyxia and birth trauma","2001","6","2","8"
"Bahamas","Birth asphyxia and birth trauma","2000","9","1","9"
"Bahamas","Sepsis and other infectious conditions of the newborn","2013","5","0","5"
"Bahamas","Sepsis and other infectious conditions of the newborn","2012","5","0","5"
"Bahamas","Sepsis and other infectious conditions of the newborn","2011","6","0","6"
"Bahamas","Sepsis and other infectious conditions of the newborn","2010","6","0","6"
"Bahamas","Sepsis and other infectious conditions of the newborn","2009","6","0","6"
"Bahamas","Sepsis and other infectious conditions of the newborn","2008","8","0","8"
"Bahamas","Sepsis and other infectious conditions of the newborn","2007","10","0","10"
"Bahamas","Sepsis and other infectious conditions of the newborn","2006","12","0","12"
"Bahamas","Sepsis and other infectious conditions of the newborn","2005","10","0","10"
"Bahamas","Sepsis and other infectious conditions of the newborn","2004","8","0","8"
"Bahamas","Sepsis and other infectious conditions of the newborn","2003","6","0","6"
"Bahamas","Sepsis and other infectious conditions of the newborn","2002","7","0","7"
"Bahamas","Sepsis and other infectious conditions of the newborn","2001","5","0","5"
"Bahamas","Sepsis and other infectious conditions of the newborn","2000","5","0","5"
"Bahamas","Other communicable, perinatal and nutritional conditions","2013","5","1","6"
"Bahamas","Other communicable, perinatal and nutritional conditions","2012","5","1","6"
"Bahamas","Other communicable, perinatal and nutritional conditions","2011","6","1","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2010","6","1","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2009","6","1","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2008","5","2","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2007","5","2","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2006","3","2","6"
"Bahamas","Other communicable, perinatal and nutritional conditions","2005","3","2","5"
"Bahamas","Other communicable, perinatal and nutritional conditions","2004","3","3","6"
"Bahamas","Other communicable, perinatal and nutritional conditions","2003","4","4","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2002","4","3","7"
"Bahamas","Other communicable, perinatal and nutritional conditions","2001","2","3","5"
"Bahamas","Other communicable, perinatal and nutritional conditions","2000","2","2","4"
"Bahamas","Congenital anomalies","2013","4","4","8"
"Bahamas","Congenital anomalies","2012","4","5","9"
"Bahamas","Congenital anomalies","2011","5","5","10"
"Bahamas","Congenital anomalies","2010","5","7","11"
"Bahamas","Congenital anomalies","2009","5","7","11"
"Bahamas","Congenital anomalies","2008","5","9","14"
"Bahamas","Congenital anomalies","2007","4","13","17"
"Bahamas","Congenital anomalies","2006","4","13","17"
"Bahamas","Congenital anomalies","2005","6","13","18"
"Bahamas","Congenital anomalies","2004","6","11","17"
"Bahamas","Congenital anomalies","2003","7","9","16"
"Bahamas","Congenital anomalies","2002","6","7","13"
"Bahamas","Congenital anomalies","2001","6","6","12"
"Bahamas","Congenital anomalies","2000","7","8","14"
"Bahamas","Other noncommunicable diseases","2013","0","10","10"
"Bahamas","Other noncommunicable diseases","2012","0","11","11"
"Bahamas","Other noncommunicable diseases","2011","0","11","11"
"Bahamas","Other noncommunicable diseases","2010","0","11","11"
"Bahamas","Other noncommunicable diseases","2009","0","13","13"
"Bahamas","Other noncommunicable diseases","2008","0","13","13"
"Bahamas","Other noncommunicable diseases","2007","0","11","11"
"Bahamas","Other noncommunicable diseases","2006","0","9","9"
"Bahamas","Other noncommunicable diseases","2005","1","8","9"
"Bahamas","Other noncommunicable diseases","2004","1","9","10"
"Bahamas","Other noncommunicable diseases","2003","1","8","9"
"Bahamas","Other noncommunicable diseases","2002","0","6","6"
"Bahamas","Other noncommunicable diseases","2001","0","6","6"
"Bahamas","Other noncommunicable diseases","2000","0","4","4"
"Bahamas","Injuries","2013","0","4","4"
"Bahamas","Injuries","2012","0","4","4"
"Bahamas","Injuries","2011","0","4","4"
"Bahamas","Injuries","2010","0","5","5"
"Bahamas","Injuries","2009","0","5","5"
"Bahamas","Injuries","2008","0","5","5"
"Bahamas","Injuries","2007","0","6","6"
"Bahamas","Injuries","2006","0","8","8"
"Bahamas","Injuries","2005","0","9","9"
"Bahamas","Injuries","2004","0","7","7"
"Bahamas","Injuries","2003","1","6","7"
"Bahamas","Injuries","2002","1","7","7"
"Bahamas","Injuries","2001","1","9","9"
"Bahamas","Injuries","2000","0","9","9"
"Barbados","HIV/AIDS","2013","0","0","0"
"Barbados","HIV/AIDS","2012","0","0","0"
"Barbados","HIV/AIDS","2011","0","0","0"
"Barbados","HIV/AIDS","2010","0","0","0"
"Barbados","HIV/AIDS","2009","0","0","0"
"Barbados","HIV/AIDS","2008","0","0","0"
"Barbados","HIV/AIDS","2007","0","0","0"
"Barbados","HIV/AIDS","2006","0","0","0"
"Barbados","HIV/AIDS","2005","0","0","0"
"Barbados","HIV/AIDS","2004","0","1","1"
"Barbados","HIV/AIDS","2003","0","1","1"
"Barbados","HIV/AIDS","2002","0","3","3"
"Barbados","HIV/AIDS","2001","0","2","2"
"Barbados","HIV/AIDS","2000","0","3","3"
"Barbados","Diarrhoeal diseases","2013","0","0","0"
"Barbados","Diarrhoeal diseases","2012","0","0","0"
"Barbados","Diarrhoeal diseases","2011","0","0","0"
"Barbados","Diarrhoeal diseases","2010","0","0","0"
"Barbados","Diarrhoeal diseases","2009","0","0","0"
"Barbados","Diarrhoeal diseases","2008","0","0","0"
"Barbados","Diarrhoeal diseases","2007","0","0","0"
"Barbados","Diarrhoeal diseases","2006","0","1","1"
"Barbados","Diarrhoeal diseases","2005","0","1","1"
"Barbados","Diarrhoeal diseases","2004","0","1","1"
"Barbados","Diarrhoeal diseases","2003","0","0","0"
"Barbados","Diarrhoeal diseases","2002","0","0","0"
"Barbados","Diarrhoeal diseases","2001","0","0","0"
"Barbados","Diarrhoeal diseases","2000","0","0","0"
"Barbados","Pertussis","2013","0","0","0"
"Barbados","Pertussis","2012","0","0","0"
"Barbados","Pertussis","2011","0","0","0"
"Barbados","Pertussis","2010","0","0","0"
"Barbados","Pertussis","2009","0","0","0"
"Barbados","Pertussis","2008","0","0","0"
"Barbados","Pertussis","2007","0","0","0"
"Barbados","Pertussis","2006","0","0","0"
"Barbados","Pertussis","2005","0","0","0"
"Barbados","Pertussis","2004","0","0","0"
"Barbados","Pertussis","2003","0","0","0"
"Barbados","Pertussis","2002","0","0","0"
"Barbados","Pertussis","2001","0","0","0"
"Barbados","Pertussis","2000","0","0","0"
"Barbados","Tetanus","2013","0","0","0"
"Barbados","Tetanus","2012","0","0","0"
"Barbados","Tetanus","2011","0","0","0"
"Barbados","Tetanus","2010","0","0","0"
"Barbados","Tetanus","2009","0","0","0"
"Barbados","Tetanus","2008","0","0","0"
"Barbados","Tetanus","2007","0","0","0"
"Barbados","Tetanus","2006","0","0","0"
"Barbados","Tetanus","2005","0","0","0"
"Barbados","Tetanus","2004","0","0","0"
"Barbados","Tetanus","2003","0","0","0"
"Barbados","Tetanus","2002","0","0","0"
"Barbados","Tetanus","2001","0","0","0"
"Barbados","Tetanus","2000","0","0","0"
"Barbados","Measles","2013","0","0","0"
"Barbados","Measles","2012","0","0","0"
"Barbados","Measles","2011","0","0","0"
"Barbados","Measles","2010","0","0","0"
